Subregion,Region
Abra,Cordillera Administrative Region
Agusan del Norte,Caraga
Agusan del Sur,Caraga
Aklan,Western Visayas
Albay,Bicol Region
Antique,Western Visayas
Apayao,Cordillera Administrative Region
Aurora,Central Luzon
Basilan,Bangsamoro
Bataan,Central Luzon
Batanes,Cagayan Valley
Batangas,Calabarzon
Benguet,Cordillera Administrative Region
Biliran,Eastern Visayas
Bohol,Central Visayas
Bukidnon,Northern Mindanao
Bulacan,Central Luzon
Cagayan,Cagayan Valley
Camarines Norte,Bicol Region
Camarines Sur,Bicol Region
Camiguin,Northern Mindanao
Capiz,Western Visayas
Catanduanes,Bicol Region
Cavite,Calabarzon
Cebu,Central Visayas
Cotabato,Soccsksargen
Davao de Oro,Davao Region
Davao del Norte,Davao Region
Davao del Sur,Davao Region
Davao Occidental,Davao Region
Davao Oriental,Davao Region
Dinagat Islands,Caraga
Eastern Samar,Eastern Visayas
Guimaras,Western Visayas
Ifugao,Cordillera Administrative Region
Ilocos Norte,Ilocos Region
Ilocos Sur,Ilocos Region
Iloilo,Western Visayas
Isabela,Cagayan Valley
Kalinga,Cordillera Administrative Region
La Union,Ilocos Region
Laguna,Calabarzon
Lanao del Norte,Northern Mindanao
Lanao del Sur,Bangsamoro
Leyte,Eastern Visayas
Maguindanao del Norte,Bangsamoro
Maguindanao del Sur,Bangsamoro
Marinduque,Mimaropa
Masbate,Bicol Region
Misamis Occidental,Northern Mindanao
Misamis Oriental,Northern Mindanao
Mountain Province,Cordillera Administrative Region
Negros Occidental,Western Visayas
Negros Oriental,Central Visayas
Northern Samar,Eastern Visayas
Nueva Ecija,Central Luzon
Nueva Vizcaya,Cagayan Valley
Occidental Mindoro,Mimaropa
Oriental Mindoro,Mimaropa
Palawan,Mimaropa
Pampanga,Central Luzon
Pangasinan,Ilocos Region
Quezon,Calabarzon
Quirino,Cagayan Valley
Rizal,Calabarzon
Romblon,Mimaropa
Samar,Eastern Visayas
Sarangani,Soccsksargen
Siquijor,Central Visayas
Sorsogon,Bicol Region
South Cotabato,Soccsksargen
Southern Leyte,Eastern Visayas
Sultan Kudarat,Soccsksargen
Sulu,Bangsamoro
Surigao del Norte,Caraga
Surigao del Sur,Caraga
Tarlac,Central Luzon
Tawi-Tawi,Bangsamoro
Zambales,Central Luzon
Zamboanga del Norte,Zamboanga Peninsula
Zamboanga del Sur,Zamboanga Peninsula
Zamboanga Sibugay,Zamboanga Peninsula
Metro Manila,National Capital Region
